id,date,time,currency,importance,event,actual,forecast,previous
0,01/08/2021,00:00,USD,low,M2 Money Supply (MoM)  (Jun),20.6T,,20.4T
1,02/08/2021,07:30,AUD,low,AIG Manufacturing Index  (Jul),60.8,,63.2
2,02/08/2021,10:00,AUD,low,MI Inflation Gauge (MoM),0.5%,,0.4%
3,02/08/2021,10:30,AUD,low,ANZ Job Advertisements (MoM),-0.5%,,1.5%
4,02/08/2021,14:00,JPY,low,Household Confidence  (Jul),37.5,,37.4
5,02/08/2021,14:30,GBP,medium,Investing.com GBP/USD Index,38.6%,,35.5%
6,02/08/2021,14:30,USD,medium,Investing.com Gold Index,58.5%,,58.2%
7,02/08/2021,14:30,AUD,medium,Investing.com AUD/USD Index,39.9%,,35.3%
8,02/08/2021,14:30,JPY,medium,Investing.com USD/JPY Index,54.7%,,47.6%
9,02/08/2021,14:30,EUR,medium,Investing.com EUR/USD Index,46.7%,,50.5%
10,02/08/2021,23:00,USD,medium,Construction Spending (MoM)  (Jun),0.1%,0.4%,-0.2%
11,02/08/2021,23:00,USD,medium,ISM Manufacturing Employment  (Jul),52.9,,49.9
12,02/08/2021,23:00,USD,low,ISM Manufacturing New Orders Index  (Jul),64.9,,66.0
13,02/08/2021,23:00,USD,high,ISM Manufacturing PMI  (Jul),59.5,60.9,60.6
14,02/08/2021,23:00,USD,high,ISM Manufacturing Prices  (Jul),85.7,,92.1
15,03/08/2021,00:30,USD,low,3-Month Bill Auction,0.050%,,0.050%
16,03/08/2021,00:30,USD,low,6-Month Bill Auction,0.055%,,0.050%
17,03/08/2021,03:00,USD,low,Loan Officer Survey,,,
18,03/08/2021,08:30,JPY,medium,Tokyo Core CPI (YoY)  (Jul),0.1%,0.0%,0.0%
19,03/08/2021,08:30,JPY,low,Tokyo CPI (YoY)  (Jul),-0.1%,,0.0%
20,03/08/2021,08:30,JPY,low,CPI Tokyo Ex Food and Energy (MoM)  (Jul),0.2%,,-0.1%
21,03/08/2021,08:50,JPY,low,Monetary Base (YoY),15.4%,,19.1%
22,03/08/2021,10:30,AUD,medium,Building Approvals (MoM)  (Jun),-6.7%,-4.5%,-7.6%
23,03/08/2021,10:30,AUD,medium,Home Loans (MoM),-2.5%,,1.9%
24,03/08/2021,10:30,AUD,low,Invest Housing Finance (MoM),0.7%,,13.3%
25,03/08/2021,10:30,AUD,low,Private House Approvals  (Jun),-11.8%,,-10.3%
26,03/08/2021,12:45,JPY,medium,10-Year JGB Auction,0.009%,,0.058%
27,03/08/2021,13:30,AUD,high,RBA Interest Rate Decision  (Aug),0.10%,0.10%,0.10%
28,03/08/2021,13:30,AUD,medium,RBA Rate Statement,,,
29,03/08/2021,15:30,AUD,low,Commodity Prices (YoY),59.9%,,50.1%
30,03/08/2021,18:00,EUR,low,PPI (MoM)  (Jun),1.4%,1.4%,1.3%
31,03/08/2021,18:00,EUR,low,PPI (YoY)  (Jun),10.2%,10.3%,9.6%
32,03/08/2021,19:00,GBP,low,30-Year Treasury Gilt Auction,0.972%,,1.274%
33,03/08/2021,21:55,USD,low,Redbook (YoY),17.2%,,16.0%
34,03/08/2021,23:00,USD,low,Durables Excluding Defense (MoM)  (Jun),1.1%,,1.0%
35,03/08/2021,23:00,USD,medium,Factory Orders (MoM)  (Jun),1.5%,1.0%,2.3%
36,03/08/2021,23:00,USD,low,Factory orders ex transportation (MoM)  (Jun),1.4%,,1.0%
