id,date,time,currency,importance,event,actual,forecast,previous
0,01/03/2022,00:00,USD,low,OPEC Crude Oil Production Algeria (Barrel),0.97M,,0.96M
1,01/03/2022,00:00,USD,low,OPEC Crude Oil Production Congo (Barrel),0.26M,,0.27M
2,01/03/2022,00:00,USD,low,OPEC Crude Oil Production Gabon (Barrel),0.19M,,0.20M
3,01/03/2022,00:00,USD,low,OPEC Crude Oil Production Guinea (Barrel),0.10M,,0.10M
4,01/03/2022,00:00,USD,low,OPEC Crude oil Production Iran (Barrel),2.50M,,2.48M
5,01/03/2022,00:00,USD,low,OPEC Crude oil Production Iraq (Barrel),4.25M,,4.27M
6,01/03/2022,00:00,USD,low,OPEC Crude Oil Production Kuwait (Barrel),2.58M,,2.55M
7,01/03/2022,00:00,USD,low,OPEC Crude Oil Production Libya (Barrel),1.01M,,1.05M
8,01/03/2022,00:00,USD,low,OPEC Crude Oil Production Nigeria (Barrel),1.40M,,1.34M
9,01/03/2022,00:00,USD,low,OPEC Crude oil Production Saudi Arabia (Barrel),10.00M,,9.93M
10,01/03/2022,00:00,USD,low,OPEC Crude oil Production UAE (Barrel),2.92M,,2.88M
11,01/03/2022,00:00,USD,low,OPEC Crude oil Production Venezuela (Barrel),0.67M,,0.68M
12,01/03/2022,00:00,USD,low,M2 Money Supply (MoM)  (Jan),21.7T,,21.7T
13,01/03/2022,00:30,USD,low,Dallas Fed Mfg Business Index  (Feb),14.0,,2.0
14,01/03/2022,00:50,EUR,medium,ECB President Lagarde Speaks,,,
15,01/03/2022,01:30,USD,low,3-Month Bill Auction,0.360%,,0.380%
16,01/03/2022,01:30,USD,low,6-Month Bill Auction,0.670%,,0.710%
17,01/03/2022,06:30,AUD,low,AIG Manufacturing Index  (Feb),53.2,,48.4
18,01/03/2022,09:30,AUD,medium,Current Account  (Q4),12.7B,14.3B,22.0B
19,01/03/2022,09:30,AUD,medium,Home Loans (MoM),1.0%,2.0%,5.3%
20,01/03/2022,09:30,AUD,low,Invest Housing Finance (MoM),6.1%,,2.4%
21,01/03/2022,09:30,AUD,low,Net Exports Contribution  (Q4),-0.2%,-1.0%,1.0%
22,01/03/2022,12:30,AUD,high,RBA Interest Rate Decision  (Mar),0.10%,0.10%,0.10%
23,01/03/2022,12:30,AUD,medium,RBA Rate Statement,,,
24,01/03/2022,12:35,JPY,medium,10-Year JGB Auction,0.179%,,0.175%
25,01/03/2022,14:30,AUD,low,Commodity Prices (YoY),16.7%,,25.3%
26,01/03/2022,18:30,GBP,low,BoE Consumer Credit  (Jan),0.608B,1.050B,0.817B
27,01/03/2022,18:30,GBP,low,M4 Money Supply (MoM)  (Jan),0.1%,,0.1%
28,01/03/2022,18:30,GBP,low,Mortgage Approvals  (Jan),73.99K,72.00K,71.22K
29,01/03/2022,18:30,GBP,low,Mortgage Lending  (Jan),5.92B,4.35B,3.97B
30,01/03/2022,18:30,GBP,low,Net Lending to Individuals,6.5B,,4.4B
31,01/03/2022,19:00,EUR,medium,ECB's Supervisory Board Member Jochnick Speaks,,,
32,01/03/2022,22:00,EUR,medium,ECB President Lagarde Speaks,,,
33,01/03/2022,22:55,USD,low,Redbook (YoY),13.4%,,14.5%
34,02/03/2022,00:00,USD,medium,Construction Spending (MoM)  (Jan),1.3%,0.2%,0.8%
35,02/03/2022,00:00,USD,medium,ISM Manufacturing Employment  (Feb),52.9,,54.5
36,02/03/2022,00:00,USD,low,ISM Manufacturing New Orders Index  (Feb),61.7,,57.9
37,02/03/2022,00:00,USD,high,ISM Manufacturing PMI  (Feb),58.6,58.0,57.6
38,02/03/2022,00:00,USD,high,ISM Manufacturing Prices  (Feb),75.6,68.1,76.1
39,02/03/2022,00:30,USD,low,Dallas Fed Services Revenues  (Feb),21.9,,2.8
40,02/03/2022,00:30,USD,low,Texas Services Sector Outlook  (Feb),16.6,,0.6
41,02/03/2022,03:30,GBP,medium,BoE MPC Member Saunders Speaks,,,
42,02/03/2022,04:00,GBP,medium,BoE MPC Member Mann Speaks,,,
43,02/03/2022,06:00,USD,high,U.S. President Biden Speaks,,,
44,02/03/2022,06:30,USD,medium,API Weekly Crude Oil Stock,-6.100M,2.796M,5.983M
45,02/03/2022,06:30,USD,low,API Weekly Gasoline Stock,-2.500M,,0.427M
46,02/03/2022,08:00,USD,low,Total Vehicle Sales,14.10M,,15.04M
47,02/03/2022,08:50,JPY,medium,Capital Spending (YoY)  (Q4),4.3%,2.9%,1.2%
48,02/03/2022,08:50,JPY,low,Monetary Base (YoY),7.6%,8.6%,8.4%
49,02/03/2022,09:01,GBP,low,BRC Shop Price Index (YoY),1.8%,,1.5%
50,02/03/2022,09:30,AUD,medium,GDP (QoQ)  (Q4),3.4%,-2.7%,-1.9%
51,02/03/2022,09:30,AUD,medium,GDP (YoY)  (Q4),4.2%,3.0%,4.0%
52,02/03/2022,09:30,AUD,low,GDP Capital Expenditure  (Q4),-1.5%,,0.2%
53,02/03/2022,09:30,AUD,low,GDP Chain Price Index  (Q4),-0.6%,,0.5%
54,02/03/2022,09:30,AUD,low,GDP Final Consumption  (Q4),4.4%,,-2.4%
55,02/03/2022,09:30,AUD,low,RBA Chart Pack Release,,,
56,02/03/2022,11:00,USD,high,U.S. President Biden Speaks,,,
57,02/03/2022,16:00,GBP,medium,Nationwide HPI (MoM),1.7%,0.6%,0.8%
58,02/03/2022,16:00,GBP,medium,Nationwide HPI (YoY),12.6%,10.7%,11.2%
59,02/03/2022,19:00,USD,medium,OPEC Meeting,,,
60,02/03/2022,19:00,EUR,low,Core CPI (MoM),0.5%,,-0.9%
61,02/03/2022,19:00,EUR,medium,Core CPI (YoY),2.7%,2.5%,2.3%
62,02/03/2022,19:00,EUR,medium,CPI (MoM),0.9%,,0.3%
63,02/03/2022,19:00,EUR,high,CPI (YoY)  (Feb),5.8%,5.3%,5.1%
64,02/03/2022,19:00,EUR,low,"CPI, n.s.a  (Feb)",111.70,,110.70
65,02/03/2022,19:00,EUR,medium,ECB's Schnabel Speaks,,,
66,02/03/2022,19:00,EUR,low,HICP ex Energy & Food (YoY)  (Feb),2.9%,2.7%,2.4%
67,02/03/2022,19:00,EUR,low,HICP ex Energy and Food (MoM),0.6%,,-0.5%
68,02/03/2022,Tentative,GBP,low,5-Year Treasury Gilt Auction,0.952%,,0.988%
69,02/03/2022,20:00,EUR,medium,ECB's De Guindos Speaks,,,
70,02/03/2022,21:00,USD,low,MBA 30-Year Mortgage Rate,4.15%,,4.06%
71,02/03/2022,21:00,USD,low,MBA Mortgage Applications (WoW),-0.7%,,-13.1%
72,02/03/2022,21:00,USD,low,MBA Purchase Index,246.3,,250.7
73,02/03/2022,21:00,USD,low,Mortgage Market Index,463.1,,466.4
74,02/03/2022,21:00,USD,low,Mortgage Refinance Index,"1,685.7",,"1,677.7"
75,02/03/2022,22:15,USD,high,ADP Nonfarm Employment Change  (Feb),475K,378K,509K
76,02/03/2022,22:30,USD,low,All Car Sales  (Feb),2.92M,,3.06M
77,02/03/2022,22:30,USD,low,All Truck Sales  (Feb),11.15M,,11.98M
78,02/03/2022,23:30,USD,medium,FOMC Member Bullard Speaks,,,
79,02/03/2022,23:30,EUR,medium,ECB President Lagarde Speaks,,,
80,03/03/2022,00:00,USD,high,Fed Chair Powell Testifies,,,
81,03/03/2022,00:30,USD,high,Crude Oil Inventories,-2.597M,2.748M,4.515M
82,03/03/2022,00:30,USD,low,EIA Refinery Crude Runs  (WoW),0.152M,,0.344M
83,03/03/2022,00:30,USD,low,Crude Oil Imports,-2.171M,,0.623M
84,03/03/2022,00:30,USD,medium,Cushing Crude Oil Inventories,-0.972M,,-2.049M
85,03/03/2022,00:30,USD,low,Distillate Fuel Production,0.020M,,0.238M
86,03/03/2022,00:30,USD,low,EIA Weekly Distillates Stocks,-0.573M,-1.726M,-0.585M
87,03/03/2022,00:30,USD,low,Gasoline Production,0.004M,,0.440M
88,03/03/2022,00:30,USD,low,Heating Oil Stockpiles,-0.272M,,0.505M
89,03/03/2022,00:30,USD,low,EIA Weekly Refinery Utilization Rates (WoW),0.3%,-0.4%,2.1%
90,03/03/2022,00:30,USD,low,Gasoline Inventories,-0.468M,-1.375M,-0.582M
91,03/03/2022,01:00,EUR,medium,ECB's Lane Speaks,,,
92,03/03/2022,03:30,GBP,medium,MPC Member Tenreyro Speaks,,,
93,03/03/2022,04:00,USD,medium,Beige Book,,,
94,03/03/2022,05:00,GBP,medium,BoE MPC Member Cunliffe Speaks,,,
95,03/03/2022,05:30,USD,medium,Fed's Balance Sheet,"8,904.46B",,"8,928.13B"
96,03/03/2022,06:30,AUD,low,AIG Construction Index  (Feb),53.4,,45.9
97,03/03/2022,08:50,JPY,low,Foreign Bonds Buying,-332.9B,,18.0B
98,03/03/2022,08:50,JPY,low,Foreign Investments in Japanese Stocks,-402.3B,,-260.8B
99,03/03/2022,09:30,AUD,medium,Building Approvals (MoM)  (Jan),-27.9%,-2.9%,9.8%
100,03/03/2022,09:30,AUD,low,Exports (MoM)  (Jan),8%,,1%
101,03/03/2022,09:30,AUD,low,Imports (MoM)  (Jan),-2%,,5%
102,03/03/2022,09:30,AUD,low,Private House Approvals  (Jan),-17.5%,,-0.3%
103,03/03/2022,09:30,AUD,medium,Trade Balance  (Jan),12.891B,9.000B,8.824B
104,03/03/2022,10:30,JPY,medium,BoJ Board Member Nakagawa Speaks,,,
105,03/03/2022,12:35,JPY,low,30-Year JGB Auction,0.893%,,0.788%
106,03/03/2022,14:00,JPY,low,Household Confidence  (Feb),35.3,35.0,36.7
107,03/03/2022,17:25,EUR,medium,ECB's Enria Speaks,,,
108,03/03/2022,19:00,EUR,low,PPI (YoY)  (Jan),30.6%,26.9%,26.3%
109,03/03/2022,19:00,EUR,low,PPI (MoM)  (Jan),5.2%,2.3%,3.0%
110,03/03/2022,19:00,EUR,medium,Unemployment Rate  (Jan),6.8%,7.0%,7.0%
111,03/03/2022,21:30,USD,low,Challenger Job Cuts  (Feb),15.245K,,19.064K
112,03/03/2022,21:30,USD,low,Challenger Job Cuts (YoY),-55.9%,,-76.0%
113,03/03/2022,21:30,EUR,medium,ECB Publishes Account of Monetary Policy Meeting,,,
114,03/03/2022,22:30,USD,medium,Continuing Jobless Claims,"1,476K","1,475K","1,474K"
115,03/03/2022,22:30,USD,high,Initial Jobless Claims,215K,226K,233K
116,03/03/2022,22:30,USD,low,Jobless Claims 4-Week Avg.,230.50K,,236.50K
117,03/03/2022,22:30,USD,medium,Nonfarm Productivity (QoQ)  (Q4),6.6%,6.7%,6.6%
118,03/03/2022,22:30,USD,medium,Unit Labor Costs (QoQ)  (Q4),0.9%,0.3%,0.3%
119,04/03/2022,00:00,USD,low,Durables Excluding Defense (MoM)  (Jan),1.6%,,1.6%
120,04/03/2022,00:00,USD,medium,Factory Orders (MoM)  (Jan),1.4%,0.5%,0.7%
