id,date,time,currency,importance,event,actual,forecast,previous
0,01/01/2022,All Day,JPY,,Japan - New Year's Day,,,
1,01/01/2022,00:00,USD,low,M2 Money Supply (MoM)  (Nov),21.5T,,21.4T
2,01/01/2022,03:00,USD,medium,U.S. Baker Hughes Oil Rig Count,480,,480
3,01/01/2022,03:00,USD,medium,U.S. Baker Hughes Total Rig Count,586,,586
4,02/01/2022,All Day,JPY,,Japan - Market Holiday,,,
5,03/01/2022,All Day,GBP,,United Kingdom - New Year's Day,,,
6,03/01/2022,All Day,AUD,,Australia - New Year's Day,,,
7,03/01/2022,All Day,JPY,,Japan - Market Holiday,,,
8,04/01/2022,00:00,USD,medium,Construction Spending (MoM)  (Nov),0.4%,0.6%,0.4%
9,04/01/2022,01:30,USD,low,3-Month Bill Auction,0.090%,,0.085%
10,04/01/2022,01:30,USD,low,6-Month Bill Auction,0.220%,,0.210%
11,04/01/2022,05:30,GBP,medium,CFTC GBP speculative net positions,-50.7K,,-57.7K
12,04/01/2022,05:30,USD,low,CFTC Aluminium speculative net positions,2.4K,,2.4K
13,04/01/2022,05:30,USD,low,CFTC Copper speculative net positions,14.4K,,4.4K
14,04/01/2022,05:30,USD,low,CFTC Corn speculative net positions,458.2K,,445.3K
15,04/01/2022,05:30,USD,medium,CFTC Crude Oil speculative net positions,338.4K,,340.3K
16,04/01/2022,05:30,USD,medium,CFTC Gold speculative net positions,213.2K,,205.8K
17,04/01/2022,05:30,USD,medium,CFTC Nasdaq 100 speculative net positions,14.1K,,25.4K
18,04/01/2022,05:30,USD,low,CFTC Natural Gas speculative net positions,-146.2K,,-141.2K
19,04/01/2022,05:30,USD,medium,CFTC S&P 500 speculative net positions,103.3K,,136.4K
20,04/01/2022,05:30,USD,low,CFTC Silver speculative net positions,26.5K,,20.9K
21,04/01/2022,05:30,USD,low,CFTC Soybeans speculative net positions,125.3K,,102.9K
22,04/01/2022,05:30,USD,low,CFTC Wheat speculative net positions,5.9K,,9.1K
23,04/01/2022,05:30,AUD,medium,CFTC AUD speculative net positions,-81.7K,,-80.4K
24,04/01/2022,05:30,JPY,medium,CFTC JPY speculative net positions,-53.1K,,-53.1K
25,04/01/2022,05:30,EUR,medium,CFTC EUR speculative net positions,-6.6K,,-10.2K
26,04/01/2022,08:50,JPY,low,Foreign Bonds Buying,,,-941.8B
27,04/01/2022,08:50,JPY,low,Foreign Investments in Japanese Stocks,,,-667.1B
28,04/01/2022,09:01,GBP,low,BRC Shop Price Index (YoY),0.8%,,0.3%
29,04/01/2022,14:30,GBP,medium,Investing.com GBP/USD Index,32.2%,,34.4%
30,04/01/2022,14:30,USD,medium,Investing.com Gold Index,59.7%,,55.5%
31,04/01/2022,14:30,AUD,low,Commodity Prices (YoY),25.7%,,36.7%
32,04/01/2022,14:30,AUD,medium,Investing.com AUD/USD Index,31.2%,,27.6%
33,04/01/2022,14:30,JPY,medium,Investing.com USD/JPY Index,41.9%,,42.5%
34,04/01/2022,14:30,EUR,medium,Investing.com EUR/USD Index,46.1%,,47.3%
35,04/01/2022,18:30,GBP,low,BoE Consumer Credit  (Nov),1.233B,0.800B,0.828B
36,04/01/2022,18:30,GBP,low,BoE Consumer Credit,,,0.769B
37,04/01/2022,18:30,GBP,low,M4 Money Supply (MoM)  (Nov),0.7%,,0.6%
38,04/01/2022,18:30,GBP,low,Mortgage Approvals  (Nov),,60.20K,58.98K
39,04/01/2022,18:30,GBP,low,Mortgage Approvals  (Nov),66.96K,65.40K,67.10K
40,04/01/2022,18:30,GBP,low,Mortgage Lending  (Nov),3.69B,3.55B,1.15B
41,04/01/2022,18:30,GBP,low,Net Lending to Individuals,,,4.7B
42,04/01/2022,18:30,GBP,low,Net Lending to Individuals,4.9B,3.9B,2.0B
43,04/01/2022,19:00,USD,medium,OPEC Meeting,,,
44,04/01/2022,22:55,USD,low,Redbook (YoY),18.8%,,21.4%
45,05/01/2022,00:00,USD,medium,FOMC Member Kashkari Speaks,,,
46,05/01/2022,00:00,USD,medium,ISM Manufacturing Employment  (Dec),54.2,53.5,53.3
