id,date,time,currency,importance,event,actual,forecast,previous
0,01/05/2023,All Day,GBP,,United Kingdom - Bank Holiday,,,
1,01/05/2023,All Day,GBP,,United Kingdom - Bank Holiday,,,
2,01/05/2023,10:00,AUD,low,MI Inflation Gauge (MoM),0.2%,,0.3%
3,01/05/2023,10:30,AUD,low,ANZ Job Advertisements (MoM),-0.3%,,-2.7%
4,01/05/2023,14:00,JPY,low,Household Confidence  (Apr),35.4,34.7,33.9
5,01/05/2023,15:30,AUD,low,Commodity Prices (YoY),-19.2%,-20.7%,-6.9%
6,01/05/2023,23:00,USD,medium,Construction Spending (MoM)  (Mar),0.3%,0.1%,-0.3%
7,01/05/2023,23:00,USD,medium,ISM Manufacturing Employment  (Apr),50.2,47.9,46.9
8,01/05/2023,23:00,USD,low,ISM Manufacturing New Orders Index  (Apr),45.7,45.5,44.3
9,01/05/2023,23:00,USD,high,ISM Manufacturing PMI  (Apr),47.1,46.8,46.3
10,01/05/2023,23:00,USD,high,ISM Manufacturing Prices  (Apr),53.2,49.0,49.2
11,02/05/2023,00:30,USD,low,3-Month Bill Auction,5.120%,,5.065%
12,02/05/2023,00:30,USD,low,6-Month Bill Auction,4.900%,,4.840%
13,02/05/2023,08:00,GBP,low,BRC Shop Price Index (YoY),8.8%,,8.9%
14,02/05/2023,08:50,JPY,low,Monetary Base (YoY)  (Apr),-1.9%,-1.1%,-1.2%
15,02/05/2023,13:30,AUD,high,RBA Interest Rate Decision  (May),3.85%,3.60%,3.60%
16,02/05/2023,13:30,AUD,medium,RBA Rate Statement,,,
17,02/05/2023,15:00,GBP,medium,Nationwide HPI (MoM)  (Apr),0.5%,-0.4%,-0.7%
18,02/05/2023,15:00,GBP,medium,Nationwide HPI (YoY)  (Apr),-2.7%,-3.6%,-3.1%
19,02/05/2023,17:00,EUR,low,M3 Money Supply (YoY)  (Mar),2.5%,2.4%,2.9%
20,02/05/2023,17:00,EUR,low,Loans to Non Financial Corporations  (Mar),5.2%,5.8%,5.7%
21,02/05/2023,17:00,EUR,low,Private Sector Loans (YoY),2.9%,3.2%,3.2%
22,02/05/2023,18:00,EUR,low,Core CPI (MoM),1.0%,1.1%,1.3%
23,02/05/2023,18:00,EUR,medium,Core CPI (YoY),5.6%,5.7%,5.7%
24,02/05/2023,18:00,EUR,high,CPI (YoY)  (Apr),7.0%,7.0%,6.9%
25,02/05/2023,18:00,EUR,medium,CPI (MoM),0.7%,0.9%,0.9%
26,02/05/2023,18:00,EUR,low,"CPI, n.s.a  (Apr)",123.16,,122.34
27,02/05/2023,18:00,EUR,low,HICP ex Energy & Food (YoY)  (Apr),7.3%,7.5%,7.5%
28,02/05/2023,18:00,EUR,low,HICP ex Energy and Food (MoM),1.0%,1.1%,1.2%
29,02/05/2023,20:05,EUR,medium,ECB's Enria Speaks,,,
30,02/05/2023,20:15,USD,low,OPEC Crude Oil Production Algeria (Barrel),1.01M,,1.01M
31,02/05/2023,20:15,USD,low,OPEC Crude Oil Production Congo (Barrel),0.28M,,0.27M
32,02/05/2023,20:15,USD,low,OPEC Crude Oil Production Gabon (Barrel),0.20M,,0.20M
33,02/05/2023,20:15,USD,low,OPEC Crude Oil Production Guinea (Barrel),0.05M,,0.06M
34,02/05/2023,20:15,USD,low,OPEC Crude oil Production Iran (Barrel),2.57M,,2.60M
35,02/05/2023,20:15,USD,low,OPEC Crude oil Production Iraq (Barrel),4.34M,,4.37M
36,02/05/2023,20:15,USD,low,OPEC Crude Oil Production Kuwait (Barrel),2.68M,,2.68M
37,02/05/2023,20:15,USD,low,OPEC Crude Oil Production Libya (Barrel),1.16M,,1.16M
38,02/05/2023,20:15,USD,low,OPEC Crude Oil Production Nigeria (Barrel),1.35M,,1.37M
39,02/05/2023,20:15,USD,low,OPEC Crude oil Production Saudi Arabia (Barrel),10.41M,,10.36M
40,02/05/2023,20:15,USD,low,OPEC Crude oil Production UAE (Barrel),3.05M,,3.04M
41,02/05/2023,20:15,USD,low,OPEC Crude oil Production Venezuela (Barrel),0.70M,,0.69M
