id,date,time,currency,importance,event,actual,forecast,previous
0,01/03/2024,00:00,USD,medium,Pending Home Sales (MoM)  (Jan),-4.9%,1.4%,5.7%
1,01/03/2024,00:00,USD,low,Pending Home Sales Index  (Jan),74.3,,78.1
2,01/03/2024,00:30,USD,low,Natural Gas Storage,-96B,-86B,-60B
3,01/03/2024,00:45,USD,low,OPEC Crude Oil Production Algeria (Barrel),0.91M,,0.96M
4,01/03/2024,00:45,USD,low,OPEC Crude Oil Production Congo (Barrel),0.25M,,0.27M
5,01/03/2024,00:45,USD,low,OPEC Crude Oil Production Gabon (Barrel),0.21M,,0.21M
6,01/03/2024,00:45,USD,low,OPEC Crude Oil Production Guinea (Barrel),0.06M,,0.05M
7,01/03/2024,00:45,USD,low,OPEC Crude oil Production Iran (Barrel),3.16M,,3.10M
8,01/03/2024,00:45,USD,low,OPEC Crude oil Production Iraq (Barrel),4.19M,,4.15M
9,01/03/2024,00:45,USD,low,OPEC Crude Oil Production Kuwait (Barrel),2.43M,,2.41M
10,01/03/2024,00:45,USD,low,OPEC Crude Oil Production Libya (Barrel),1.02M,,1.00M
11,01/03/2024,00:45,USD,low,OPEC Crude Oil Production Nigeria (Barrel),1.42M,,1.54M
12,01/03/2024,00:45,USD,low,OPEC Crude oil Production Saudi Arabia (Barrel),8.97M,,8.99M
13,01/03/2024,00:45,USD,low,OPEC Crude oil Production UAE (Barrel),2.93M,,2.92M
14,01/03/2024,00:45,USD,low,OPEC Crude oil Production Venezuela (Barrel),0.80M,,0.79M
15,01/03/2024,00:50,USD,medium,FOMC Member Bostic Speaks,,,
16,01/03/2024,01:00,USD,low,Fed Goolsbee Speaks,,,
17,01/03/2024,01:00,USD,low,KC Fed Composite Index  (Feb),-4,,-9
18,01/03/2024,01:00,USD,low,KC Fed Manufacturing Index  (Feb),3,,-17
19,01/03/2024,01:30,USD,low,4-Week Bill Auction,5.285%,,5.285%
20,01/03/2024,01:30,USD,low,8-Week Bill Auction,5.285%,,5.275%
21,01/03/2024,01:30,USD,medium,Atlanta Fed GDPNow  (Q1),3.0%,3.2%,3.2%
22,01/03/2024,03:15,USD,medium,FOMC Member Mester Speaks,,,
23,01/03/2024,06:30,USD,medium,Fed's Balance Sheet,"7,568B",,"7,582B"
24,01/03/2024,06:30,USD,low,Reserve Balances with Federal Reserve Banks,3.541T,,3.523T
25,01/03/2024,07:00,USD,low,Fed Goolsbee Speaks,,,
26,01/03/2024,08:30,JPY,low,Jobs/applications ratio  (Jan),1.27,1.27,1.27
27,01/03/2024,08:30,JPY,low,Unemployment Rate  (Jan),2.4%,2.4%,2.4%
28,01/03/2024,10:10,USD,medium,FOMC Member Williams Speaks,,,
29,01/03/2024,14:00,JPY,low,Household Confidence  (Feb),39.1,38.4,38.0
30,01/03/2024,14:30,AUD,low,Commodity Prices (YoY)  (Feb),-11.0%,,-10.4%
31,01/03/2024,16:00,GBP,medium,Nationwide HPI (YoY)  (Feb),1.2%,0.7%,-0.2%
32,01/03/2024,16:00,GBP,medium,Nationwide HPI (MoM)  (Feb),0.7%,0.2%,0.7%
33,01/03/2024,19:00,EUR,low,Core CPI (MoM),0.7%,,-0.9%
34,01/03/2024,19:00,EUR,medium,Core CPI (YoY),3.1%,2.9%,3.3%
35,01/03/2024,19:00,EUR,medium,CPI (MoM),0.6%,,-0.4%
36,01/03/2024,19:00,EUR,high,CPI (YoY)  (Feb),2.6%,2.5%,2.8%
37,01/03/2024,19:00,EUR,low,"CPI, n.s.a  (Feb)",124.37,,123.60
38,01/03/2024,19:00,EUR,low,HICP ex Energy & Food (YoY)  (Feb),3.3%,,3.6%
39,01/03/2024,19:00,EUR,low,HICP ex Energy and Food (MoM),0.6%,,-0.6%
40,01/03/2024,19:00,EUR,medium,Unemployment Rate  (Jan),6.4%,6.4%,6.5%
41,01/03/2024,23:00,GBP,medium,BoE MPC Member Pill Speaks,,,
42,02/03/2024,00:00,USD,medium,Construction Spending (MoM)  (Jan),-0.2%,0.2%,1.1%
43,02/03/2024,00:00,USD,high,Fed Monetary Policy Report,,,
