id,date,time,currency,importance,event,actual,forecast,previous
0,01/08/2020,00:00,USD,low,OPEC Crude Oil Production Algeria (Barrel),0.81M,,0.82M
1,01/08/2020,00:00,USD,low,OPEC Crude Oil Production Congo (Barrel),0.30M,,0.27M
2,01/08/2020,00:00,USD,low,OPEC Crude Oil Production Gabon (Barrel),0.20M,,0.19M
3,01/08/2020,00:00,USD,low,OPEC Crude Oil Production Guinea (Barrel),0.11M,,0.09M
4,01/08/2020,00:00,USD,low,OPEC Crude oil Production Iran (Barrel),1.95M,,1.98M
5,01/08/2020,00:00,USD,low,OPEC Crude oil Production Iraq (Barrel),3.72M,,4.17M
6,01/08/2020,00:00,USD,low,OPEC Crude Oil Production Kuwait (Barrel),2.10M,,2.20M
7,01/08/2020,00:00,USD,low,OPEC Crude Oil Production Libya (Barrel),0.09M,,0.08M
8,01/08/2020,00:00,USD,low,OPEC Crude Oil Production Nigeria (Barrel),1.50M,,1.59M
9,01/08/2020,00:00,USD,low,OPEC Crude oil Production Saudi Arabia (Barrel),7.56M,,8.48M
10,01/08/2020,00:00,USD,low,OPEC Crude oil Production UAE (Barrel),2.35M,,2.48M
11,01/08/2020,00:00,USD,low,OPEC Crude oil Production Venezuela (Barrel),0.36M,,0.57M
12,01/08/2020,00:00,USD,low,M2 Money Supply (MoM),18.3T,,18.2T
13,01/08/2020,01:00,USD,low,Dallas Fed PCE  (Jun),1.70%,,1.50%
14,01/08/2020,02:00,USD,medium,U.S. Baker Hughes Oil Rig Count,180,,181
15,01/08/2020,02:00,USD,medium,U.S. Baker Hughes Total Rig Count,251,,251
16,01/08/2020,04:30,GBP,medium,CFTC GBP speculative net positions,-25.4K,,-15.1K
17,01/08/2020,04:30,USD,low,CFTC Copper speculative net positions,42.5K,,38.6K
18,01/08/2020,04:30,USD,low,CFTC Corn speculative net positions,-102.4K,,-98.9K
19,01/08/2020,04:30,USD,medium,CFTC Crude Oil speculative net positions,532.6K,,548.9K
20,01/08/2020,04:30,USD,medium,CFTC Gold speculative net positions,236.8K,,266.4K
21,01/08/2020,04:30,USD,medium,CFTC Nasdaq 100 speculative net positions,24.1K,,15.7K
22,01/08/2020,04:30,USD,low,CFTC Natural Gas speculative net positions,-18.7K,,-22.9K
23,01/08/2020,04:30,USD,medium,CFTC S&P 500 speculative net positions,-39.2K,,-43.0K
24,01/08/2020,04:30,USD,low,CFTC Silver speculative net positions,27.3K,,46.8K
25,01/08/2020,04:30,USD,low,CFTC Soybeans speculative net positions,113.0K,,121.5K
26,01/08/2020,04:30,USD,low,CFTC Wheat speculative net positions,16.7K,,18.8K
27,01/08/2020,04:30,AUD,medium,CFTC AUD speculative net positions,-5.0K,,-0.2K
28,01/08/2020,04:30,JPY,medium,CFTC JPY speculative net positions,28.5K,,19.3K
29,01/08/2020,04:30,EUR,medium,CFTC EUR speculative net positions,157.6K,,125.0K
30,03/08/2020,07:30,AUD,low,AIG Manufacturing Index  (Jul),53.5,,51.5
31,03/08/2020,08:50,JPY,medium,GDP (YoY),-2.2%,-4.1%,-2.2%
32,03/08/2020,08:50,JPY,high,GDP (QoQ),-0.6%,-1.1%,-0.6%
33,03/08/2020,08:50,JPY,low,GDP Capital Expenditure (QoQ),1.7%,,1.9%
34,03/08/2020,08:50,JPY,low,GDP External Demand (QoQ),-0.2%,,-0.2%
35,03/08/2020,08:50,JPY,medium,GDP Price Index (YoY),0.9%,,0.9%
36,03/08/2020,08:50,JPY,low,GDP Private Consumption (QoQ),-0.8%,,-0.8%
37,03/08/2020,10:00,AUD,low,MI Inflation Gauge (MoM),0.9%,,0.6%
38,03/08/2020,10:30,AUD,low,ANZ Job Advertisements (MoM),16.7%,,41.4%
39,03/08/2020,14:30,GBP,medium,Investing.com GBP/USD Index,28.2%,,36.6%
40,03/08/2020,14:30,USD,medium,Investing.com Gold Index,49.3%,,52.6%
41,03/08/2020,14:30,AUD,medium,Investing.com AUD/USD Index,40.6%,,39.1%
42,03/08/2020,14:30,JPY,medium,Investing.com USD/JPY Index,45.0%,,50.2%
43,03/08/2020,14:30,EUR,medium,Investing.com EUR/USD Index,61.4%,,56.6%
44,03/08/2020,23:00,USD,medium,Construction Spending (MoM)  (Jun),-0.7%,1.0%,-1.7%
45,03/08/2020,23:00,USD,medium,ISM Manufacturing Employment  (Jul),44.3,48.3,42.1
46,03/08/2020,23:00,USD,low,ISM Manufacturing New Orders Index  (Jul),61.5,,56.4
47,03/08/2020,23:00,USD,high,ISM Manufacturing PMI  (Jul),54.2,53.6,52.6
48,03/08/2020,23:00,USD,high,ISM Manufacturing Prices  (Jul),53.2,52.0,51.3
