id,date,time,currency,importance,event,actual,forecast,previous
0,01/04/2021,00:00,USD,low,OPEC Crude Oil Production Algeria (Barrel),0.88M,,0.86M
1,01/04/2021,00:00,USD,low,OPEC Crude Oil Production Congo (Barrel),0.27M,,0.27M
2,01/04/2021,00:00,USD,low,OPEC Crude Oil Production Gabon (Barrel),0.18M,,0.17M
3,01/04/2021,00:00,USD,low,OPEC Crude Oil Production Guinea (Barrel),0.10M,,0.12M
4,01/04/2021,00:00,USD,low,OPEC Crude oil Production Iran (Barrel),2.17M,,2.08M
5,01/04/2021,00:00,USD,low,OPEC Crude oil Production Iraq (Barrel),3.89M,,3.84M
6,01/04/2021,00:00,USD,low,OPEC Crude Oil Production Kuwait (Barrel),2.33M,,2.32M
7,01/04/2021,00:00,USD,low,OPEC Crude Oil Production Libya (Barrel),1.17M,,1.16M
8,01/04/2021,00:00,USD,low,OPEC Crude Oil Production Nigeria (Barrel),1.47M,,1.34M
9,01/04/2021,00:00,USD,low,OPEC Crude oil Production Saudi Arabia (Barrel),8.12M,,9.05M
10,01/04/2021,00:00,USD,low,OPEC Crude oil Production UAE (Barrel),2.61M,,2.61M
11,01/04/2021,00:00,USD,low,OPEC Crude oil Production Venezuela (Barrel),0.52M,,0.49M
12,01/04/2021,00:00,USD,low,M2 Money Supply (MoM)  (Feb),19.9T,,19.7T
13,01/04/2021,05:30,USD,medium,Fed's Balance Sheet,"7,688.99B",,"7,719.62B"
14,01/04/2021,06:30,AUD,low,AIG Manufacturing Index  (Mar),59.9,,58.8
15,01/04/2021,Tentative,USD,high,U.S. President Biden Speaks,,,
16,01/04/2021,08:50,JPY,low,Foreign Bonds Buying,200.7B,,554.4B
17,01/04/2021,08:50,JPY,low,Foreign Investments in Japanese Stocks,-852.4B,,-79.0B
18,01/04/2021,08:50,JPY,medium,Tankan All Big Industry CAPEX  (Q1),3.0%,1.4%,-1.2%
19,01/04/2021,08:50,JPY,low,Tankan All Small Industry CAPEX  (Q1),-5.5%,-12.5%,-13.9%
20,01/04/2021,08:50,JPY,medium,Tankan Big Manufacturing Outlook Index  (Q1),4,4,-8
21,01/04/2021,08:50,JPY,medium,Tankan Large Manufacturers Index  (Q1),5,-15,-10
22,01/04/2021,08:50,JPY,low,Tankan Large Non-Manufacturers Diffusion Index  (Q1),-1,-2,-6
23,01/04/2021,08:50,JPY,medium,Tankan Large Non-Manufacturers Index  (Q1),-1,-5,-5
24,01/04/2021,08:50,JPY,low,Tankan Small Manufacturers Diffusion Index  (Q1),-12,-17,-26
25,01/04/2021,08:50,JPY,low,Tankan Small Manufacturing Index  (Q1),-13,-20,-27
26,01/04/2021,08:50,JPY,low,Tankan Small Non-Manufacturers Diffusion Index  (Q1),-16,-14,-20
27,01/04/2021,08:50,JPY,low,Tankan Small Non-Manufacturing Index  (Q1),-11,-14,-12
28,01/04/2021,09:30,AUD,low,Exports (MoM)  (Feb),-1%,,6%
29,01/04/2021,09:30,AUD,medium,Home Loans (MoM),-1.7%,,12.3%
30,01/04/2021,09:30,AUD,low,Imports (MoM)  (Feb),5%,,-2%
31,01/04/2021,09:30,AUD,low,Invest Housing Finance (MoM),4.5%,,9.4%
32,01/04/2021,09:30,AUD,medium,Retail Sales (MoM)  (Feb),-0.8%,-1.1%,0.3%
33,01/04/2021,09:30,AUD,medium,Trade Balance  (Feb),7.529B,9.700B,10.142B
34,01/04/2021,12:45,JPY,medium,10-Year JGB Auction,0.123%,,0.131%
35,01/04/2021,14:30,AUD,low,Commodity Prices (YoY),28.2%,,24.4%
36,01/04/2021,19:00,USD,medium,OPEC Meeting,,,
37,01/04/2021,20:30,USD,low,Challenger Job Cuts  (Mar),30.603K,,34.531K
38,01/04/2021,20:30,USD,low,Challenger Job Cuts (YoY),-86.2%,,-39.1%
39,01/04/2021,21:30,USD,medium,Continuing Jobless Claims,"3,794K","3,775K","3,840K"
40,01/04/2021,21:30,USD,high,Initial Jobless Claims,719K,680K,658K
41,01/04/2021,21:30,USD,low,Jobless Claims 4-Week Avg.,719.00K,,729.50K
42,01/04/2021,23:00,USD,medium,Construction Spending (MoM)  (Feb),-0.8%,-1.0%,1.2%
43,01/04/2021,23:00,USD,medium,ISM Manufacturing Employment  (Mar),59.6,53.0,54.4
44,01/04/2021,23:00,USD,low,ISM Manufacturing New Orders Index  (Mar),68.0,,64.8
45,01/04/2021,23:00,USD,high,ISM Manufacturing PMI  (Mar),64.7,61.3,60.8
46,01/04/2021,23:00,USD,high,ISM Manufacturing Prices  (Mar),85.6,85.0,86.0
47,01/04/2021,23:30,USD,low,Natural Gas Storage,14B,21B,-32B
48,02/04/2021,All Day,USD,,United States - Good Friday,,,
49,02/04/2021,All Day,GBP,,United Kingdom - Good Friday,,,
50,02/04/2021,All Day,AUD,,Australia - Good Friday,,,
51,02/04/2021,00:30,USD,low,4-Week Bill Auction,0.015%,,0.015%
52,02/04/2021,00:30,USD,low,8-Week Bill Auction,0.015%,,0.020%
53,02/04/2021,02:00,USD,medium,U.S. Baker Hughes Oil Rig Count,337,,324
54,02/04/2021,02:00,USD,medium,FOMC Member Harker Speaks,,,
55,02/04/2021,02:00,USD,medium,U.S. Baker Hughes Total Rig Count,430,,417
56,02/04/2021,05:05,USD,medium,FOMC Member Kaplan Speaks,,,
57,02/04/2021,08:50,JPY,low,Monetary Base (YoY),20.8%,,19.6%
58,02/04/2021,09:00,USD,low,Total Vehicle Sales,17.70M,,15.70M
59,02/04/2021,21:30,USD,medium,Average Hourly Earnings (YoY) (YoY)  (Mar),4.2%,4.5%,5.2%
60,02/04/2021,21:30,USD,high,Average Hourly Earnings (MoM)  (Mar),-0.1%,0.1%,0.3%
61,02/04/2021,21:30,USD,low,Average Weekly Hours  (Mar),34.9,34.7,34.6
62,02/04/2021,21:30,USD,low,Government Payrolls  (Mar),136.0K,,-90.0K
63,02/04/2021,21:30,USD,low,Manufacturing Payrolls  (Mar),53K,33K,18K
64,02/04/2021,21:30,USD,high,Nonfarm Payrolls  (Mar),916K,647K,468K
65,02/04/2021,21:30,USD,medium,Participation Rate  (Mar),61.5%,,61.4%
66,02/04/2021,21:30,USD,medium,Private Nonfarm Payrolls  (Mar),780K,575K,558K
67,02/04/2021,21:30,USD,medium,U6 Unemployment Rate  (Mar),10.7%,,11.1%
68,02/04/2021,21:30,USD,high,Unemployment Rate  (Mar),6.0%,6.0%,6.2%
69,02/04/2021,22:00,USD,low,All Car Sales  (Mar),3.87M,,3.43M
70,02/04/2021,22:00,USD,low,All Truck Sales  (Mar),13.87M,,12.34M
71,03/04/2021,00:00,USD,medium,FOMC Member Bostic Speaks,,,
72,03/04/2021,05:30,GBP,medium,CFTC GBP speculative net positions,25.0K,,21.8K
73,03/04/2021,05:30,USD,low,CFTC Aluminium speculative net positions,4.2K,,4.2K
74,03/04/2021,05:30,USD,low,CFTC Copper speculative net positions,43.9K,,45.4K
75,03/04/2021,05:30,USD,low,CFTC Corn speculative net positions,535.3K,,538.7K
76,03/04/2021,05:30,USD,medium,CFTC Crude Oil speculative net positions,531.3K,,523.1K
77,03/04/2021,05:30,USD,medium,CFTC Gold speculative net positions,167.5K,,174.1K
78,03/04/2021,05:30,USD,medium,CFTC Nasdaq 100 speculative net positions,-17.9K,,-12.7K
79,03/04/2021,05:30,USD,low,CFTC Natural Gas speculative net positions,-37.9K,,-36.6K
80,03/04/2021,05:30,USD,medium,CFTC S&P 500 speculative net positions,-50.3K,,-28.3K
81,03/04/2021,05:30,USD,low,CFTC Silver speculative net positions,29.0K,,31.1K
82,03/04/2021,05:30,USD,low,CFTC Soybeans speculative net positions,211.7K,,227.7K
83,03/04/2021,05:30,USD,low,CFTC Wheat speculative net positions,3.1K,,15.3K
84,03/04/2021,05:30,AUD,medium,CFTC AUD speculative net positions,12.3K,,5.9K
85,03/04/2021,05:30,JPY,medium,CFTC JPY speculative net positions,-59.5K,,-53.5K
86,03/04/2021,05:30,EUR,medium,CFTC EUR speculative net positions,73.7K,,93.3K
87,05/04/2021,All Day,GBP,,United Kingdom - Easter,,,
88,05/04/2021,All Day,AUD,,Australia - Easter Monday,,,
89,05/04/2021,10:00,AUD,low,MI Inflation Gauge (MoM),0.4%,,0.1%
90,05/04/2021,14:30,GBP,medium,Investing.com GBP/USD Index,37.7%,,36.8%
91,05/04/2021,14:30,USD,medium,Investing.com Gold Index,52.3%,,53.1%
92,05/04/2021,14:30,AUD,medium,Investing.com AUD/USD Index,41.2%,,36.9%
93,05/04/2021,14:30,JPY,medium,Investing.com USD/JPY Index,47.9%,,46.2%
94,05/04/2021,14:30,EUR,medium,Investing.com EUR/USD Index,46.0%,,51.8%
95,05/04/2021,17:30,GBP,low,M4 Money Supply (MoM)  (Mar),0.6%,,0.8%
96,05/04/2021,22:45,USD,low,ISM NY Business Conditions  (Mar),37.2%,,35.5%
97,05/04/2021,22:45,USD,low,ISM-New York Index  (Mar),804.5,,810.9
98,05/04/2021,23:00,USD,medium,Cap Goods Ship Non Defense Ex Air (MoM),-1.1%,,1.9%
99,05/04/2021,23:00,USD,low,CB Employment Trends Index  (Mar),102.40,,100.01
100,05/04/2021,23:00,USD,low,Durables Excluding Defense (MoM)  (Feb),-0.8%,,-0.7%
101,05/04/2021,23:00,USD,medium,Factory Orders (MoM)  (Feb),-0.8%,-0.5%,2.7%
102,05/04/2021,23:00,USD,low,Factory orders ex transportation (MoM)  (Feb),-0.6%,,1.8%
103,05/04/2021,23:00,USD,low,ISM Non-Manufacturing Business Activity  (Mar),69.4,,55.5
104,05/04/2021,23:00,USD,medium,ISM Non-Manufacturing Employment  (Mar),57.2,,52.7
105,05/04/2021,23:00,USD,low,ISM Non-Manufacturing New Orders  (Mar),67.2,,51.9
106,05/04/2021,23:00,USD,high,ISM Non-Manufacturing PMI  (Mar),63.7,59.0,55.3
107,05/04/2021,23:00,USD,high,ISM Non-Manufacturing Prices  (Mar),74.0,,71.8
108,06/04/2021,00:00,USD,low,IMF Meetings,,,
109,06/04/2021,00:30,USD,low,3-Month Bill Auction,0.020%,,0.020%
110,06/04/2021,00:30,USD,low,6-Month Bill Auction,0.035%,,0.040%
111,06/04/2021,08:30,JPY,low,Average Cash Earnings (YoY),-0.2%,,-0.8%
112,06/04/2021,08:30,JPY,medium,Household Spending (YoY)  (Feb),-6.6%,-5.3%,-6.1%
113,06/04/2021,08:30,JPY,medium,Household Spending (MoM)  (Feb),2.4%,2.8%,-7.3%
114,06/04/2021,08:30,JPY,low,Overall wage income of employees  (Feb),-0.2%,,-1.3%
115,06/04/2021,08:30,JPY,low,Overtime Pay (YoY)  (Feb),-9.30%,,-6.60%
116,06/04/2021,10:30,AUD,low,ANZ Job Advertisements (MoM),7.4%,,8.8%
117,06/04/2021,12:45,JPY,low,30-Year JGB Auction,0.688%,,0.691%
118,06/04/2021,13:30,AUD,high,RBA Interest Rate Decision  (Apr),0.10%,0.10%,0.10%
119,06/04/2021,13:30,AUD,medium,RBA Rate Statement,,,
120,06/04/2021,17:00,GBP,low,Car Registration (YoY),11.5%,,-35.5%
121,06/04/2021,17:00,GBP,low,Car Registration (MoM)  (Mar),453.4%,,-43.1%
122,06/04/2021,17:30,EUR,low,Sentix Investor Confidence  (Apr),13.1,7.5,5.0
123,06/04/2021,18:00,EUR,medium,Unemployment Rate  (Feb),8.3%,8.1%,8.3%
124,06/04/2021,21:55,USD,low,Redbook (MoM),-17.2%,,-17.4%
125,06/04/2021,21:55,USD,low,Redbook (YoY),10.6%,,9.8%
126,06/04/2021,23:00,USD,low,IBD/TIPP Economic Optimism,56.4,,55.4
127,06/04/2021,23:00,USD,high,JOLTS Job Openings  (Feb),7.367M,6.995M,7.099M
128,07/04/2021,00:00,USD,low,IMF Meetings,,,
129,07/04/2021,01:00,USD,medium,EIA Short-Term Energy Outlook,,,
