id,date,time,currency,importance,event,actual,forecast,previous
0,01/02/2021,00:00,USD,low,M2 Money Supply (MoM),19.4T,,19.1T
1,01/02/2021,06:30,AUD,low,AIG Manufacturing Index  (Jan),55.3,,52.1
2,01/02/2021,09:00,AUD,low,MI Inflation Gauge (MoM),0.2%,,0.5%
3,01/02/2021,09:30,AUD,low,ANZ Job Advertisements (MoM),2.3%,,8.6%
4,01/02/2021,09:30,AUD,medium,Home Loans (MoM),7.1%,,5.5%
5,01/02/2021,09:30,AUD,low,Invest Housing Finance (MoM),8.2%,,6.0%
6,01/02/2021,14:30,AUD,low,Commodity Prices (YoY),19.7%,,12.7%
7,01/02/2021,15:30,GBP,medium,Investing.com GBP/USD Index,36.0%,,44.2%
8,01/02/2021,15:30,USD,medium,Investing.com Gold Index,56.4%,,54.4%
9,01/02/2021,15:30,AUD,medium,Investing.com AUD/USD Index,45.4%,,46.8%
10,01/02/2021,15:30,JPY,medium,Investing.com USD/JPY Index,40.2%,,42.3%
11,01/02/2021,15:30,EUR,medium,Investing.com EUR/USD Index,55.9%,,58.0%
12,01/02/2021,18:30,GBP,low,BoE Consumer Credit  (Dec),-0.965B,-1.100B,-1.467B
13,01/02/2021,18:30,GBP,low,M4 Money Supply (MoM)  (Dec),0.7%,,0.8%
14,01/02/2021,18:30,GBP,low,Mortgage Approvals  (Dec),103.38K,105.00K,105.32K
15,01/02/2021,18:30,GBP,low,Mortgage Lending  (Dec),5.59B,5.59B,5.73B
16,01/02/2021,18:30,GBP,low,Net Lending to Individuals,4.6B,,4.3B
17,01/02/2021,19:00,EUR,medium,Unemployment Rate  (Dec),8.3%,8.3%,8.3%
18,02/02/2021,00:00,USD,medium,Construction Spending (MoM)  (Dec),1.0%,0.9%,1.1%
19,02/02/2021,00:00,USD,medium,ISM Manufacturing Employment  (Jan),52.6,,51.7
20,02/02/2021,00:00,USD,low,ISM Manufacturing New Orders Index  (Jan),61.1,,67.5
21,02/02/2021,00:00,USD,high,ISM Manufacturing PMI  (Jan),58.7,60.0,60.5
22,02/02/2021,00:00,USD,high,ISM Manufacturing Prices  (Jan),82.1,77.0,77.6
23,02/02/2021,01:30,USD,low,3-Month Bill Auction,0.065%,,0.080%
24,02/02/2021,01:30,USD,low,6-Month Bill Auction,0.070%,,0.085%
25,02/02/2021,04:00,USD,medium,FOMC Member Bostic Speaks,,,
26,02/02/2021,04:00,USD,low,Loan Officer Survey,,,
27,02/02/2021,04:10,USD,medium,FOMC Member Rosengren Speaks,,,
28,02/02/2021,08:50,JPY,low,Monetary Base (YoY),18.9%,,18.3%
29,02/02/2021,10:30,AUD,medium,RBA Governor Lowe Speaks,,,
30,02/02/2021,12:30,AUD,high,RBA Interest Rate Decision  (Jan),0.10%,0.10%,0.10%
31,02/02/2021,12:30,AUD,medium,RBA Rate Statement,,,
32,02/02/2021,12:35,JPY,medium,10-Year JGB Auction,0.053%,,0.019%
33,02/02/2021,16:00,GBP,medium,Nationwide HPI (MoM)  (Jan),-0.3%,0.3%,0.9%
34,02/02/2021,16:00,GBP,medium,Nationwide HPI (YoY)  (Jan),6.4%,6.9%,7.3%
35,02/02/2021,19:00,EUR,medium,GDP (QoQ)  (Q4),-0.7%,12.7%,12.4%
36,02/02/2021,19:00,EUR,medium,GDP (YoY)  (Q4),-5.1%,-4.3%,-4.3%
37,02/02/2021,19:45,GBP,low,5-Year Treasury Gilt Auction,0.039%,,-0.049%
38,02/02/2021,22:55,USD,low,Redbook (YoY),4.4%,,3.9%
39,02/02/2021,22:55,USD,low,Redbook (MoM),-1.6%,,-2.0%
40,02/02/2021,23:45,USD,low,ISM NY Business Conditions  (Jan),51.2%,,61.3%
41,02/02/2021,23:45,USD,low,ISM-New York Index  (Jan),818.2,,817.6
42,03/02/2021,00:00,USD,low,IBD/TIPP Economic Optimism,51.9,,50.1
43,03/02/2021,04:00,USD,medium,FOMC Member Mester Speaks,,,
44,03/02/2021,04:00,USD,medium,FOMC Member Williams Speaks,,,
45,03/02/2021,06:30,USD,medium,API Weekly Crude Oil Stock,-4.261M,0.367M,-5.272M
46,03/02/2021,06:30,USD,low,API Weekly Gasoline Stock,-0.240M,,3.058M
47,03/02/2021,06:30,AUD,low,AIG Construction Index  (Dec),57.6,,55.3
48,03/02/2021,09:00,USD,low,Total Vehicle Sales,16.60M,16.10M,16.30M
49,03/02/2021,09:30,AUD,medium,Building Approvals (MoM)  (Dec),10.9%,,3.3%
50,03/02/2021,09:30,AUD,low,Private House Approvals  (Dec),15.8%,,6.1%
51,03/02/2021,09:30,AUD,low,RBA Chart Pack Release,,,
52,03/02/2021,10:30,AUD,medium,RBA Governor Lowe Speaks,,,
53,03/02/2021,10:30,JPY,medium,BOJ Deputy Governor Wakatabe Speaks,,,
54,03/02/2021,17:00,EUR,medium,ECB Monetary Policy Statement,,,
55,03/02/2021,18:00,EUR,medium,ECB Hakkarainen Speaks,,,
56,03/02/2021,19:00,EUR,medium,Core CPI (YoY)  (Jan),1.4%,0.2%,0.2%
57,03/02/2021,19:00,EUR,low,Core CPI (MoM),-0.5%,,0.4%
58,03/02/2021,19:00,EUR,medium,CPI (MoM),0.2%,,0.2%
59,03/02/2021,19:00,EUR,high,CPI (YoY)  (Jan),0.9%,0.5%,-0.3%
60,03/02/2021,19:00,EUR,low,"CPI, n.s.a  (Jan)",105.32,,105.15
61,03/02/2021,19:00,EUR,low,HICP ex Energy & Food (YoY)  (Jan),1.4%,0.5%,0.4%
62,03/02/2021,19:00,EUR,low,HICP ex Energy and Food (MoM),-0.3%,,0.3%
63,03/02/2021,19:00,EUR,low,PPI (YoY)  (Dec),-1.1%,-1.2%,-1.9%
