id,date,time,currency,importance,event,actual,forecast,previous
0,01/12/2020,00:00,USD,low,OPEC Crude Oil Production Algeria (Barrel),0.86M,,0.85M
1,01/12/2020,00:00,USD,low,OPEC Crude Oil Production Congo (Barrel),0.27M,,0.28M
2,01/12/2020,00:00,USD,low,OPEC Crude Oil Production Gabon (Barrel),0.19M,,0.18M
3,01/12/2020,00:00,USD,low,OPEC Crude Oil Production Guinea (Barrel),0.11M,,0.10M
4,01/12/2020,00:00,USD,low,OPEC Crude oil Production Iran (Barrel),1.96M,,1.96M
5,01/12/2020,00:00,USD,low,OPEC Crude oil Production Iraq (Barrel),3.84M,,3.69M
6,01/12/2020,00:00,USD,low,OPEC Crude Oil Production Kuwait (Barrel),2.29M,,2.29M
7,01/12/2020,00:00,USD,low,OPEC Crude Oil Production Libya (Barrel),0.45M,,0.16M
8,01/12/2020,00:00,USD,low,OPEC Crude Oil Production Nigeria (Barrel),1.49M,,1.46M
9,01/12/2020,00:00,USD,low,OPEC Crude oil Production Saudi Arabia (Barrel),8.96M,,8.96M
10,01/12/2020,00:00,USD,low,OPEC Crude oil Production UAE (Barrel),2.44M,,2.53M
11,01/12/2020,00:00,USD,low,OPEC Crude oil Production Venezuela (Barrel),0.37M,,0.38M
12,01/12/2020,00:00,USD,medium,Pending Home Sales (MoM)  (Oct),-1.1%,1.0%,-2.0%
13,01/12/2020,00:00,USD,low,Pending Home Sales Index  (Oct),128.9,,130.3
14,01/12/2020,00:30,USD,low,Dallas Fed Mfg Business Index  (Nov),12.0,,19.8
15,01/12/2020,01:30,USD,low,3-Month Bill Auction,0.085%,,0.085%
16,01/12/2020,01:30,USD,low,6-Month Bill Auction,0.090%,,0.090%
17,01/12/2020,05:30,GBP,medium,CFTC GBP speculative net positions,-17.1K,,-19.7K
18,01/12/2020,05:30,USD,low,CFTC Copper speculative net positions,73.8K,,67.2K
19,01/12/2020,05:30,USD,low,CFTC Corn speculative net positions,451.3K,,411.5K
20,01/12/2020,05:30,USD,medium,CFTC Crude Oil speculative net positions,522.6K,,480.8K
21,01/12/2020,05:30,USD,medium,CFTC Gold speculative net positions,243.9K,,251.3K
22,01/12/2020,05:30,USD,medium,CFTC Nasdaq 100 speculative net positions,-22.8K,,-16.5K
23,01/12/2020,05:30,USD,low,CFTC Natural Gas speculative net positions,25.3K,,46.4K
24,01/12/2020,05:30,USD,medium,CFTC S&P 500 speculative net positions,-13.4K,,38.8K
