id,date,time,currency,importance,event,actual,forecast,previous
0,02/06/2025,08:00,AUD,low,Judo Bank Manufacturing PMI  (May),51.0,51.7,51.7
1,02/06/2025,08:50,JPY,medium,Capital Spending (YoY)  (Q1),6.4%,3.8%,-0.2%
2,02/06/2025,09:00,USD,medium,Fed Waller Speaks,,,
3,02/06/2025,09:30,JPY,low,au Jibun Bank Manufacturing PMI  (May),49.4,49.0,48.7
4,02/06/2025,10:30,AUD,low,ANZ Job Advertisements (MoM)  (May),-1.2%,,-0.3%
5,02/06/2025,10:30,AUD,low,MI Inflation Gauge (MoM)  (May),-0.4%,,0.6%
6,02/06/2025,15:00,GBP,medium,Nationwide HPI (YoY)  (May),3.5%,2.9%,3.4%
7,02/06/2025,15:00,GBP,medium,Nationwide HPI (MoM)  (May),0.5%,0.0%,-0.6%
8,02/06/2025,15:30,AUD,low,Commodity Prices (YoY)  (May),-7.7%,,-7.1%
9,02/06/2025,17:00,EUR,medium,HCOB Eurozone Manufacturing PMI  (May),49.4,48.4,49.0
10,02/06/2025,17:30,GBP,low,BoE Consumer Credit  (Apr),1.580B,1.100B,1.102B
11,02/06/2025,17:30,GBP,low,M3 Money Supply  (Apr),"3,127.8B",,"3,129.2B"
12,02/06/2025,17:30,GBP,low,M4 Money Supply (MoM)  (Apr),0.0%,0.2%,0.3%
13,02/06/2025,17:30,GBP,medium,S&P Global Manufacturing PMI  (May),46.4,45.1,45.4
14,02/06/2025,17:30,GBP,low,Mortgage Approvals  (Apr),60.46K,65.00K,63.60K
15,02/06/2025,17:30,GBP,low,Mortgage Lending  (Apr),-0.76B,-0.50B,12.96B
16,02/06/2025,17:30,GBP,low,Net Lending to Individuals  (Apr),0.820B,2.800B,13.800B
17,02/06/2025,22:45,USD,high,S&P Global Manufacturing PMI  (May),52.0,52.3,50.2
18,02/06/2025,23:00,GBP,medium,BoE MPC Member Mann Speaks,,,
19,02/06/2025,23:00,USD,medium,Construction Spending (MoM)  (Apr),-0.4%,0.4%,-0.8%
20,02/06/2025,23:00,USD,medium,ISM Manufacturing Employment  (May),46.8,,46.5
21,02/06/2025,23:00,USD,low,ISM Manufacturing New Orders Index  (May),47.6,,47.2
22,02/06/2025,23:00,USD,high,ISM Manufacturing PMI  (May),48.5,49.3,48.7
23,02/06/2025,23:00,USD,high,ISM Manufacturing Prices  (May),69.4,70.2,69.8
24,02/06/2025,23:15,USD,low,Fed Logan Speaks,,,
25,03/06/2025,00:30,USD,low,3-Month Bill Auction,4.250%,,4.255%
26,03/06/2025,00:30,USD,low,6-Month Bill Auction,4.150%,,4.160%
27,03/06/2025,00:30,USD,medium,Atlanta Fed GDPNow  (Q2),4.6%,3.8%,3.8%
28,03/06/2025,01:30,EUR,medium,ECB President Lagarde Speaks,,,
29,03/06/2025,01:45,USD,low,Fed Goolsbee Speaks,,,
30,03/06/2025,02:00,USD,high,Fed Chair Powell Speaks,,,
31,03/06/2025,06:30,GBP,medium,BoE MPC Member Mann Speaks,,,
32,03/06/2025,08:50,JPY,low,Monetary Base (YoY)  (May),-3.4%,-4.2%,-5.1%
33,03/06/2025,10:30,AUD,low,Business inventories (MoM)  (Q1),0.8%,0.2%,0.2%
34,03/06/2025,10:30,AUD,medium,Company Gross Operating Profits (QoQ)  (Q1),-0.5%,1.2%,6.0%
35,03/06/2025,10:30,AUD,low,Company Profits Pre-Tax (QoQ)  (Q1),0.7%,,4.8%
36,03/06/2025,10:30,AUD,medium,Current Account  (Q1),-14.7B,-12.4B,-16.3B
37,03/06/2025,10:30,AUD,medium,RBA Meeting Minutes,,,
