id,date,time,currency,importance,event,actual,forecast,previous
0,01/09/2021,00:00,USD,low,OPEC Crude Oil Production Algeria (Barrel),0.91M,,0.90M
1,01/09/2021,00:00,USD,low,OPEC Crude Oil Production Congo (Barrel),0.26M,,0.27M
2,01/09/2021,00:00,USD,low,OPEC Crude Oil Production Gabon (Barrel),0.18M,,0.17M
3,01/09/2021,00:00,USD,low,OPEC Crude Oil Production Guinea (Barrel),0.10M,,0.11M
4,01/09/2021,00:00,USD,low,OPEC Crude oil Production Iran (Barrel),2.49M,,2.47M
5,01/09/2021,00:00,USD,low,OPEC Crude oil Production Iraq (Barrel),3.98M,,3.94M
6,01/09/2021,00:00,USD,low,OPEC Crude Oil Production Kuwait (Barrel),2.43M,,2.38M
7,01/09/2021,00:00,USD,low,OPEC Crude Oil Production Libya (Barrel),1.17M,,1.16M
8,01/09/2021,00:00,USD,low,OPEC Crude Oil Production Nigeria (Barrel),1.44M,,1.40M
9,01/09/2021,00:00,USD,low,OPEC Crude oil Production Saudi Arabia (Barrel),9.40M,,8.91M
10,01/09/2021,00:00,USD,low,OPEC Crude oil Production UAE (Barrel),2.72M,,2.68M
11,01/09/2021,00:00,USD,low,OPEC Crude oil Production Venezuela (Barrel),0.51M,,0.53M
12,01/09/2021,00:00,USD,low,M2 Money Supply (MoM)  (Jul),20.8T,,20.6T
13,01/09/2021,05:30,USD,medium,API Weekly Crude Oil Stock,-4.045M,-2.833M,-1.622M
14,01/09/2021,05:30,USD,low,API Weekly Gasoline Stock,2.711M,,-0.985M
15,01/09/2021,07:30,AUD,low,AIG Manufacturing Index  (Aug),51.6,,60.8
16,01/09/2021,08:01,GBP,low,BRC Shop Price Index (YoY),-0.8%,,-1.2%
17,01/09/2021,08:50,JPY,medium,Capital Spending (YoY)  (Q2),5.3%,,-7.8%
18,01/09/2021,10:30,AUD,medium,GDP (YoY)  (Q2),9.6%,9.2%,1.3%
19,01/09/2021,10:30,AUD,medium,GDP (QoQ)  (Q2),0.7%,0.5%,1.9%
20,01/09/2021,10:30,AUD,low,GDP Capital Expenditure  (Q2),3.2%,,4.7%
21,01/09/2021,10:30,AUD,low,GDP Chain Price Index  (Q2),3.3%,,3.1%
22,01/09/2021,10:30,AUD,low,GDP Final Consumption  (Q2),1.2%,,0.7%
23,01/09/2021,10:30,JPY,medium,BOJ Deputy Governor Wakatabe Speaks,,,
24,01/09/2021,15:00,GBP,medium,Nationwide HPI (MoM)  (Aug),2.1%,0.2%,-0.6%
25,01/09/2021,15:00,GBP,medium,Nationwide HPI (YoY)  (Aug),11.0%,8.6%,10.5%
26,01/09/2021,15:30,AUD,low,Commodity Prices (YoY),50.3%,,62.3%
27,01/09/2021,18:00,EUR,medium,Unemployment Rate  (Jul),7.6%,7.6%,7.8%
28,01/09/2021,19:00,USD,medium,OPEC Meeting,,,
29,01/09/2021,20:00,USD,low,MBA 30-Year Mortgage Rate,3.03%,,3.03%
30,01/09/2021,20:00,USD,low,MBA Mortgage Applications (WoW),-2.4%,,1.6%
31,01/09/2021,20:00,USD,low,MBA Purchase Index,259.0,,257.5
32,01/09/2021,20:00,USD,low,Mortgage Market Index,719.4,,737.1
33,01/09/2021,20:00,USD,low,Mortgage Refinance Index,"3,385.8",,"3,520.7"
34,01/09/2021,21:15,USD,high,ADP Nonfarm Employment Change  (Aug),374K,613K,326K
35,01/09/2021,23:00,USD,medium,Construction Spending (MoM)  (Jul),0.3%,0.2%,0.1%
36,01/09/2021,23:00,USD,medium,ISM Manufacturing Employment  (Aug),49.0,,52.9
37,01/09/2021,23:00,USD,low,ISM Manufacturing New Orders Index  (Aug),66.7,,64.9
38,01/09/2021,23:00,USD,high,ISM Manufacturing PMI  (Aug),59.9,58.6,59.5
39,01/09/2021,23:00,USD,high,ISM Manufacturing Prices  (Aug),79.4,83.8,85.7
40,01/09/2021,23:30,USD,high,Crude Oil Inventories,-7.169M,-3.088M,-2.979M
41,01/09/2021,23:30,USD,low,EIA Refinery Crude Runs  (WoW),-0.134M,,0.066M
42,01/09/2021,23:30,USD,low,Crude Oil Imports,-0.045M,,0.426M
43,01/09/2021,23:30,USD,medium,Cushing Crude Oil Inventories,0.836M,,0.070M
44,01/09/2021,23:30,USD,low,Distillate Fuel Production,-0.178M,,0.140M
45,01/09/2021,23:30,USD,low,EIA Weekly Distillates Stocks,-1.732M,-0.650M,0.645M
46,01/09/2021,23:30,USD,low,Gasoline Production,-0.364M,,0.249M
47,01/09/2021,23:30,USD,low,Heating Oil Stockpiles,0.005M,,-0.299M
48,01/09/2021,23:30,USD,low,EIA Weekly Refinery Utilization Rates (WoW),-1.1%,-0.3%,0.2%
49,01/09/2021,23:30,USD,low,Gasoline Inventories,1.290M,-1.633M,-2.242M
50,02/09/2021,01:00,USD,medium,FOMC Member Bostic Speaks,,,
