id,date,time,currency,importance,event,actual,forecast,previous
0,01/12/2022,00:00,USD,high,JOLTS Job Openings  (Oct),10.334M,10.300M,10.687M
1,01/12/2022,00:00,USD,low,OPEC Crude Oil Production Algeria (Barrel),1.03M,,1.04M
2,01/12/2022,00:00,USD,low,OPEC Crude Oil Production Congo (Barrel),0.26M,,0.27M
3,01/12/2022,00:00,USD,low,OPEC Crude Oil Production Gabon (Barrel),0.20M,,0.20M
4,01/12/2022,00:00,USD,low,OPEC Crude Oil Production Guinea (Barrel),0.06M,,0.09M
5,01/12/2022,00:00,USD,low,OPEC Crude oil Production Iran (Barrel),2.57M,,2.56M
6,01/12/2022,00:00,USD,low,OPEC Crude oil Production Iraq (Barrel),4.51M,,4.52M
7,01/12/2022,00:00,USD,low,OPEC Crude Oil Production Kuwait (Barrel),2.71M,,2.82M
8,01/12/2022,00:00,USD,low,OPEC Crude Oil Production Libya (Barrel),1.14M,,1.15M
9,01/12/2022,00:00,USD,low,OPEC Crude Oil Production Nigeria (Barrel),1.17M,,1.09M
10,01/12/2022,00:00,USD,low,OPEC Crude oil Production Saudi Arabia (Barrel),10.61M,,10.44M
11,01/12/2022,00:00,USD,low,OPEC Crude oil Production UAE (Barrel),3.09M,,3.19M
12,01/12/2022,00:00,USD,low,OPEC Crude oil Production Venezuela (Barrel),0.67M,,0.66M
13,01/12/2022,00:00,USD,medium,Pending Home Sales (MoM)  (Oct),-4.6%,-5.0%,-8.7%
14,01/12/2022,00:00,USD,low,Pending Home Sales Index  (Oct),77.1,,80.8
15,01/12/2022,00:30,USD,high,Crude Oil Inventories,-12.580M,-2.758M,-3.691M
16,01/12/2022,00:30,USD,low,EIA Refinery Crude Runs  (WoW),0.228M,,0.258M
17,01/12/2022,00:30,USD,low,Crude Oil Imports,-1.732M,,1.124M
18,01/12/2022,00:30,USD,medium,Cushing Crude Oil Inventories,-0.415M,-0.697M,-0.887M
19,01/12/2022,00:30,USD,low,Distillate Fuel Production,0.200M,,0.014M
20,01/12/2022,00:30,USD,low,EIA Weekly Distillates Stocks,3.547M,1.457M,1.718M
21,01/12/2022,00:30,USD,low,Gasoline Production,0.196M,,-0.625M
22,01/12/2022,00:30,USD,low,Heating Oil Stockpiles,-0.729M,,0.961M
23,01/12/2022,00:30,USD,low,EIA Weekly Refinery Utilization Rates (WoW),1.3%,0.2%,1.0%
24,01/12/2022,00:30,USD,low,Gasoline Inventories,2.769M,1.625M,3.058M
25,01/12/2022,02:35,USD,low,Fed Governor Cook Speaks,,,
26,01/12/2022,03:30,USD,high,Fed Chair Powell Speaks,,,
27,01/12/2022,04:00,USD,medium,Beige Book,,,
28,01/12/2022,05:30,USD,medium,Fed's Balance Sheet,"8,584.58B",,"8,621.39B"
29,01/12/2022,06:30,AUD,low,AIG Manufacturing Index  (Nov),44.7,,49.6
30,01/12/2022,08:50,JPY,medium,Capital Spending (YoY)  (Q3),9.8%,6.4%,4.6%
31,01/12/2022,08:50,JPY,low,Foreign Bonds Buying,-51.2B,,-527.1B
32,01/12/2022,08:50,JPY,low,Foreign Investments in Japanese Stocks,442.9B,,4.4B
33,01/12/2022,09:30,AUD,low,Building Capital Expenditure (MoM)  (Q3),0.5%,,-2.5%
34,01/12/2022,09:30,AUD,low,Plant/Machinery Capital Expenditure (QoQ)  (Q3),-1.6%,,2.1%
35,01/12/2022,09:30,AUD,medium,Private New Capital Expenditure (QoQ)  (Q3),-0.6%,1.5%,0.0%
36,01/12/2022,10:30,JPY,medium,BoJ Board Member Noguchi Speaks,,,
37,01/12/2022,12:35,JPY,medium,10-Year JGB Auction,0.250%,,0.248%
38,01/12/2022,14:00,JPY,low,Household Confidence  (Nov),28.6,30.3,29.9
39,01/12/2022,14:30,AUD,low,Commodity Prices (YoY),19.1%,,31.6%
40,01/12/2022,15:00,JPY,medium,BoJ Governor Kuroda Speaks,,,
41,01/12/2022,16:00,GBP,medium,Nationwide HPI (MoM)  (Nov),-1.4%,-0.3%,-0.9%
42,01/12/2022,16:00,GBP,medium,Nationwide HPI (YoY)  (Nov),4.4%,5.8%,7.2%
43,01/12/2022,17:00,EUR,medium,ECB's Enria Speaks,,,
44,01/12/2022,19:00,EUR,medium,Unemployment Rate  (Oct),6.5%,6.6%,6.6%
45,01/12/2022,19:10,GBP,low,30-Year Treasury Gilt Auction,3.411%,,4.409%
46,01/12/2022,21:30,USD,low,Challenger Job Cuts (YoY),416.5%,,48.3%
47,01/12/2022,21:30,USD,low,Challenger Job Cuts  (Nov),76.835K,,33.843K
48,01/12/2022,22:30,USD,medium,Continuing Jobless Claims,"1,608K","1,573K","1,551K"
49,01/12/2022,22:30,USD,high,Core PCE Price Index (MoM)  (Oct),0.2%,0.3%,0.5%
50,01/12/2022,22:30,USD,high,Core PCE Price Index (YoY)  (Oct),5.0%,5.0%,5.2%
51,01/12/2022,22:30,USD,high,Initial Jobless Claims,225K,235K,241K
52,01/12/2022,22:30,USD,low,Jobless Claims 4-Week Avg.,228.75K,,227.00K
53,01/12/2022,22:30,USD,medium,PCE price index (MoM)  (Oct),0.3%,0.5%,0.3%
54,01/12/2022,22:30,USD,medium,PCE Price index (YoY)  (Oct),6.0%,6.0%,6.3%
55,01/12/2022,22:30,USD,low,Personal Income (MoM)  (Oct),0.7%,0.4%,0.4%
56,01/12/2022,22:30,USD,medium,Personal Spending (MoM)  (Oct),0.8%,0.8%,0.6%
57,01/12/2022,22:30,USD,low,Real Personal Consumption (MoM)  (Oct),0.5%,,0.3%
58,01/12/2022,23:25,USD,low,Fed Logan Speaks,,,
59,01/12/2022,23:30,USD,medium,FOMC Member Bowman Speaks,,,
60,02/12/2022,00:00,USD,medium,Construction Spending (MoM)  (Oct),-0.3%,-0.3%,0.1%
61,02/12/2022,00:00,USD,medium,ISM Manufacturing Employment  (Nov),48.4,,50.0
62,02/12/2022,00:00,USD,low,ISM Manufacturing New Orders Index  (Nov),47.2,,49.2
63,02/12/2022,00:00,USD,high,ISM Manufacturing PMI  (Nov),49.0,49.8,50.2
64,02/12/2022,00:00,USD,high,ISM Manufacturing Prices  (Nov),43.0,47.5,46.6
65,02/12/2022,00:30,USD,low,Natural Gas Storage,-81B,-84B,-80B
66,02/12/2022,01:30,USD,low,4-Week Bill Auction,3.950%,,3.970%
67,02/12/2022,01:30,USD,low,8-Week Bill Auction,4.080%,,4.120%
68,02/12/2022,01:45,EUR,medium,ECB's Lane Speaks,,,
69,02/12/2022,02:30,EUR,medium,ECB's Elderson Speaks,,,
70,02/12/2022,04:48,USD,low,Dallas Fed PCE  (Oct),3.40%,,4.30%
71,02/12/2022,05:00,USD,medium,Fed Vice Chair for Supervision Barr Speaks,,,
72,02/12/2022,06:30,USD,low,Reserve Balances with Federal Reserve Banks,3.052T,,3.169T
73,02/12/2022,08:00,USD,low,Total Vehicle Sales,14.10M,14.50M,14.90M
74,02/12/2022,08:50,JPY,low,Monetary Base (YoY),-6.4%,-4.5%,-6.9%
75,02/12/2022,09:30,AUD,medium,Home Loans (MoM),-2.9%,-4.5%,-4.8%
76,02/12/2022,09:30,AUD,low,Invest Housing Finance (MoM),-2.2%,,-6.0%
77,02/12/2022,09:30,AUD,medium,Retail Sales (MoM),-0.2%,-0.2%,0.6%
78,02/12/2022,11:40,AUD,medium,RBA Governor Lowe Speaks,,,
79,02/12/2022,11:40,EUR,medium,ECB President Lagarde Speaks,,,
80,02/12/2022,19:00,EUR,low,PPI (MoM)  (Oct),-2.9%,-2.0%,1.6%
81,02/12/2022,19:00,EUR,low,PPI (YoY)  (Oct),30.8%,31.5%,41.9%
82,02/12/2022,21:00,EUR,medium,ECB's De Guindos Speaks,,,
83,02/12/2022,21:30,USD,high,Unemployment Rate  (Nov),3.7%,3.7%,3.7%
84,02/12/2022,22:30,USD,high,Average Hourly Earnings (MoM)  (Nov),0.6%,0.3%,0.5%
85,02/12/2022,22:30,USD,medium,Average Hourly Earnings (YoY) (YoY)  (Nov),5.1%,4.6%,4.9%
86,02/12/2022,22:30,USD,low,Average Weekly Hours  (Nov),34.4,34.5,34.5
87,02/12/2022,22:30,USD,low,Government Payrolls  (Nov),42.0K,,36.0K
88,02/12/2022,22:30,USD,low,Manufacturing Payrolls  (Nov),14K,20K,36K
89,02/12/2022,22:30,USD,high,Nonfarm Payrolls  (Nov),263K,200K,284K
90,02/12/2022,22:30,USD,medium,Participation Rate  (Nov),62.1%,,62.2%
91,02/12/2022,22:30,USD,medium,Private Nonfarm Payrolls  (Nov),221K,190K,248K
92,02/12/2022,22:30,USD,medium,U6 Unemployment Rate  (Nov),6.7%,,6.8%
93,03/12/2022,00:00,USD,low,All Car Sales  (Nov),3.12M,,3.18M
94,03/12/2022,00:00,USD,low,All Truck Sales  (Nov),11.03M,,11.94M
95,03/12/2022,00:15,USD,low,Chicago Fed President Evans Speaks,,,
96,03/12/2022,03:00,USD,medium,U.S. Baker Hughes Oil Rig Count,627,,627
97,03/12/2022,03:00,USD,medium,U.S. Baker Hughes Total Rig Count,784,,784
98,03/12/2022,04:30,GBP,medium,CFTC GBP speculative net positions,-36.6K,,-35.9K
99,03/12/2022,04:30,USD,low,CFTC Aluminium speculative net positions,6.4K,,6.7K
100,03/12/2022,04:30,USD,low,CFTC Copper speculative net positions,2.0K,,3.1K
101,03/12/2022,04:30,USD,low,CFTC Corn speculative net positions,270.2K,,248.8K
102,03/12/2022,04:30,USD,medium,CFTC Crude Oil speculative net positions,239.7K,,252.5K
103,03/12/2022,04:30,USD,medium,CFTC Gold speculative net positions,110.0K,,116.1K
104,03/12/2022,04:30,USD,medium,CFTC Nasdaq 100 speculative net positions,9.8K,,3.0K
105,03/12/2022,04:30,USD,low,CFTC Natural Gas speculative net positions,-163.4K,,-170.9K
106,03/12/2022,04:30,USD,medium,CFTC S&P 500 speculative net positions,-204.2K,,-191.5K
107,03/12/2022,04:30,USD,low,CFTC Silver speculative net positions,17.5K,,16.8K
108,03/12/2022,04:30,USD,low,CFTC Soybeans speculative net positions,87.2K,,70.2K
109,03/12/2022,04:30,USD,low,CFTC Wheat speculative net positions,-33.3K,,-27.5K
110,03/12/2022,04:30,AUD,medium,CFTC AUD speculative net positions,-44.6K,,-42.8K
111,03/12/2022,04:30,JPY,medium,CFTC JPY speculative net positions,-67.4K,,-64.9K
112,03/12/2022,04:30,EUR,medium,CFTC EUR speculative net positions,122.2K,,123.1K
113,03/12/2022,11:30,EUR,medium,ECB President Lagarde Speaks,,,
114,04/12/2022,Tentative,USD,medium,OPEC Meeting,,,
115,05/12/2022,06:30,AUD,low,AIG Construction Index  (Nov),48.2,,43.3
