id,date,time,currency,importance,event,actual,forecast,previous
0,01/08/2023,00:30,USD,low,3-Month Bill Auction,5.280%,,5.270%
1,01/08/2023,00:30,USD,low,6-Month Bill Auction,5.270%,,5.270%
2,01/08/2023,03:00,USD,low,Loan Officer Survey,,,
3,01/08/2023,08:01,GBP,low,BRC Shop Price Index (YoY),7.6%,,8.4%
4,01/08/2023,08:30,JPY,low,Jobs/applications ratio  (Jun),1.30,1.32,1.31
5,01/08/2023,08:30,JPY,low,Unemployment Rate  (Jun),2.5%,2.5%,2.6%
6,01/08/2023,10:30,AUD,low,Building Approvals (YoY)  (Jun),-18.00%,,-9.80%
7,01/08/2023,10:30,AUD,medium,Building Approvals (MoM)  (Jun),-7.7%,-7.0%,20.5%
8,01/08/2023,10:30,AUD,medium,Home Loans (MoM),-2.8%,1.7%,5.1%
9,01/08/2023,10:30,AUD,low,Invest Housing Finance (MoM),2.6%,,5.9%
10,01/08/2023,10:30,AUD,low,Private House Approvals  (Jun),-1.3%,,0.9%
11,01/08/2023,12:35,JPY,medium,10-Year JGB Auction,0.594%,,0.428%
12,01/08/2023,13:30,AUD,high,RBA Interest Rate Decision  (Aug),4.10%,4.35%,4.10%
13,01/08/2023,13:30,AUD,medium,RBA Rate Statement,,,
14,01/08/2023,15:00,GBP,medium,Nationwide HPI (MoM)  (Jul),-0.2%,-0.2%,0.1%
15,01/08/2023,15:00,GBP,medium,Nationwide HPI (YoY)  (Jul),-3.8%,-3.8%,-3.5%
16,01/08/2023,15:30,AUD,low,Commodity Prices (YoY),-23.5%,-19.0%,-21.5%
17,01/08/2023,18:00,GBP,low,2-Year Treasury Gilt Auction,5.272%,,5.668%
18,01/08/2023,18:00,EUR,medium,Unemployment Rate  (Jun),6.4%,6.5%,6.4%
19,01/08/2023,21:55,USD,low,Redbook (YoY),0.1%,,-0.4%
20,01/08/2023,23:00,USD,medium,Construction Spending (MoM)  (Jun),0.5%,0.6%,1.1%
21,01/08/2023,23:00,USD,medium,ISM Manufacturing Employment  (Jul),44.4,48.0,48.1
22,01/08/2023,23:00,USD,low,ISM Manufacturing New Orders Index  (Jul),47.3,44.0,45.6
23,01/08/2023,23:00,USD,high,ISM Manufacturing PMI  (Jul),46.4,46.8,46.0
24,01/08/2023,23:00,USD,high,ISM Manufacturing Prices  (Jul),42.6,42.8,41.8
25,01/08/2023,23:00,USD,high,JOLTS Job Openings  (Jun),9.582M,9.610M,9.616M
26,01/08/2023,23:00,USD,low,Total Vehicle Sales  (Jul),15.70M,15.70M,15.70M
27,01/08/2023,23:30,USD,low,Dallas Fed Services Revenues  (Jul),12.9,5.6,3.6
28,01/08/2023,23:30,USD,low,Texas Services Sector Outlook  (Jul),-4.2,-12.5,-8.2
29,02/08/2023,05:30,USD,medium,API Weekly Crude Oil Stock,-15.400M,-0.900M,1.319M
30,02/08/2023,08:00,AUD,low,AIG Construction Index  (Jul),-9.2,,10.6
31,02/08/2023,08:00,AUD,low,AIG Manufacturing Index  (Jul),-25.6,,-19.8
32,02/08/2023,08:50,JPY,low,Monetary Base (YoY)  (Jul),-1.3%,-0.9%,-1.0%
33,02/08/2023,08:50,JPY,medium,Monetary Policy Meeting Minutes,,,
34,02/08/2023,10:30,AUD,low,RBA Chart Pack Release,,,
35,02/08/2023,20:00,USD,low,MBA 30-Year Mortgage Rate,6.93%,,6.87%
36,02/08/2023,20:00,USD,low,MBA Mortgage Applications (WoW),-3.0%,,-1.8%
37,02/08/2023,20:00,USD,low,MBA Purchase Index,154.1,,159.2
