id,date,time,currency,importance,event,actual,forecast,previous
0,01/01/2021,All Day,USD,,United States - New Year's Day,,,
1,01/01/2021,All Day,GBP,,United Kingdom - New Year's Day,,,
2,01/01/2021,All Day,AUD,,Australia - New Year's Day,,,
3,01/01/2021,All Day,JPY,,Japan - New Year's Day,,,
4,01/01/2021,00:00,USD,low,OPEC Crude Oil Production Algeria (Barrel),0.86M,,0.86M
5,01/01/2021,00:00,USD,low,OPEC Crude Oil Production Congo (Barrel),0.28M,,0.27M
6,01/01/2021,00:00,USD,low,OPEC Crude Oil Production Gabon (Barrel),0.18M,,0.19M
7,01/01/2021,00:00,USD,low,OPEC Crude Oil Production Guinea (Barrel),0.10M,,0.11M
8,01/01/2021,00:00,USD,low,OPEC Crude oil Production Iran (Barrel),1.98M,,1.96M
9,01/01/2021,00:00,USD,low,OPEC Crude oil Production Iraq (Barrel),3.77M,,3.84M
10,01/01/2021,00:00,USD,low,OPEC Crude Oil Production Kuwait (Barrel),2.29M,,2.29M
11,01/01/2021,00:00,USD,low,OPEC Crude Oil Production Libya (Barrel),1.09M,,0.45M
12,01/01/2021,00:00,USD,low,OPEC Crude oil Production Saudi Arabia (Barrel),8.97M,,8.96M
13,01/01/2021,00:00,USD,low,OPEC Crude oil Production UAE (Barrel),2.52M,,2.44M
14,01/01/2021,00:00,USD,low,OPEC Crude oil Production Venezuela (Barrel),0.41M,,0.37M
15,01/01/2021,00:00,USD,low,M2 Money Supply (MoM),19.1T,,18.8T
16,01/01/2021,00:30,USD,low,Natural Gas Storage,-114B,-125B,-152B
17,02/01/2021,All Day,JPY,,Japan - Market Holiday,,,
18,03/01/2021,All Day,JPY,,Japan - Market Holiday,,,
19,04/01/2021,14:30,AUD,low,Commodity Prices (YoY),11.7%,,2.5%
20,04/01/2021,18:30,GBP,low,BoE Consumer Credit  (Nov),-1.539B,-1.500B,-0.698B
21,04/01/2021,18:30,GBP,low,M4 Money Supply (MoM)  (Nov),0.8%,,0.7%
22,04/01/2021,18:30,GBP,low,Mortgage Approvals  (Nov),104.97K,82.50K,98.34K
23,04/01/2021,18:30,GBP,low,Mortgage Lending  (Nov),5.68B,4.35B,4.47B
24,04/01/2021,18:30,GBP,low,Net Lending to Individuals,4.1B,,3.8B
25,05/01/2021,00:00,USD,low,Chicago Fed President Evans Speaks,,,
26,05/01/2021,00:00,USD,medium,Construction Spending (MoM)  (Nov),0.9%,1.0%,1.6%
27,05/01/2021,00:00,USD,medium,FOMC Member Bostic Speaks,,,
28,05/01/2021,01:30,USD,low,3-Month Bill Auction,0.090%,,0.095%
29,05/01/2021,01:30,USD,low,6-Month Bill Auction,0.090%,,0.100%
30,05/01/2021,02:15,USD,medium,FOMC Member Mester Speaks,,,
31,05/01/2021,05:30,GBP,medium,CFTC GBP speculative net positions,4.8K,,6.0K
32,05/01/2021,05:30,USD,low,CFTC Aluminium speculative net positions,3.3K,,3.3K
33,05/01/2021,05:30,USD,low,CFTC Copper speculative net positions,71.3K,,71.4K
34,05/01/2021,05:30,USD,low,CFTC Corn speculative net positions,510.5K,,436.5K
35,05/01/2021,05:30,USD,medium,CFTC Crude Oil speculative net positions,511.7K,,525.7K
36,05/01/2021,05:30,USD,medium,CFTC Gold speculative net positions,268.9K,,278.2K
37,05/01/2021,05:30,USD,medium,CFTC Nasdaq 100 speculative net positions,19.8K,,31.2K
38,05/01/2021,05:30,USD,low,CFTC Natural Gas speculative net positions,7.9K,,17.6K
39,05/01/2021,05:30,USD,medium,CFTC S&P 500 speculative net positions,-30.8K,,-24.6K
40,05/01/2021,05:30,USD,low,CFTC Silver speculative net positions,54.8K,,57.3K
41,05/01/2021,05:30,USD,low,CFTC Soybeans speculative net positions,260.4K,,271.2K
42,05/01/2021,05:30,USD,low,CFTC Wheat speculative net positions,27.5K,,20.4K
43,05/01/2021,05:30,AUD,medium,CFTC AUD speculative net positions,-6.5K,,-4.4K
44,05/01/2021,05:30,JPY,medium,CFTC JPY speculative net positions,47.4K,,46.1K
45,05/01/2021,05:30,EUR,medium,CFTC EUR speculative net positions,143.1K,,143.9K
46,05/01/2021,05:45,EUR,medium,ECB's Lane Speaks,,,
47,05/01/2021,08:00,USD,medium,FOMC Member Mester Speaks,,,
48,05/01/2021,08:50,JPY,low,Monetary Base (YoY),18.3%,,16.5%
49,05/01/2021,09:30,AUD,low,ANZ Job Advertisements (MoM),9.2%,,13.9%
50,05/01/2021,15:30,GBP,medium,Investing.com GBP/USD Index,40.7%,,41.5%
51,05/01/2021,15:30,USD,medium,Investing.com Gold Index,50.7%,,55.0%
52,05/01/2021,15:30,AUD,medium,Investing.com AUD/USD Index,42.9%,,44.4%
53,05/01/2021,15:30,JPY,medium,Investing.com USD/JPY Index,45.1%,,44.1%
54,05/01/2021,15:30,EUR,medium,Investing.com EUR/USD Index,54.4%,,53.8%
55,05/01/2021,18:00,EUR,low,M3 Money Supply (YoY)  (Nov),11.0%,10.6%,10.5%
56,05/01/2021,18:00,EUR,low,Loans to Non Financial Corporations  (Nov),6.9%,,6.8%
57,05/01/2021,18:00,EUR,low,Private Sector Loans (YoY),3.1%,,3.2%
58,05/01/2021,22:55,USD,low,Redbook (YoY),5.5%,,8.9%
59,05/01/2021,22:55,USD,low,Redbook (MoM),0.5%,,0.4%
60,05/01/2021,23:45,USD,low,ISM NY Business Conditions  (Dec),61.3%,,44.2%
61,05/01/2021,23:45,USD,low,ISM-New York Index  (Dec),817.6,,811.9
62,06/01/2021,00:00,USD,medium,ISM Manufacturing Employment  (Dec),51.5,,48.4
